index,release_name,tag_name,expected_version,expected_build,expected_git_ref,published_at,created_at,prerelease,draft,html_url,tarball_url,zipball_url,local_archive_path,artifact_id,role,notes
81,7.44,7.44.0.587,7.44,7.44.0.587,7.44.0.587,2025-01-29T19:41:48Z,2025-01-29T00:31:06Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.44.0.587,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.44.0.587,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.44.0.587,artifacts/local/Signal-7.44.0.587.xcarchive,signal_local_7_44_0_587_release,local_release_tag,
82,7.43,7.43.0.573,7.43,7.43.0.573,7.43.0.573,2025-01-22T16:53:38Z,2025-01-21T21:52:39Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.43.0.573,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.43.0.573,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.43.0.573,artifacts/local/Signal-7.43.0.573.xcarchive,signal_local_7_43_0_573_release,local_release_tag,
83,7.42.1,7.42.1.569,7.42.1,7.42.1.569,7.42.1.569,2025-01-18T18:30:14Z,2025-01-17T21:01:55Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.42.1.569,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.42.1.569,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.42.1.569,artifacts/local/Signal-7.42.1.569.xcarchive,signal_local_7_42_1_569_release,local_release_tag,
84,7.42,7.42.0.555,7.42,7.42.0.555,7.42.0.555,2025-01-15T17:54:30Z,2025-01-14T19:54:21Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.42.0.555,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.42.0.555,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.42.0.555,artifacts/local/Signal-7.42.0.555.xcarchive,signal_local_7_42_0_555_release,local_release_tag,
85,7.40.5,7.41.3.520,7.40.5,7.41.3.520,7.41.3.520,2024-12-28T02:25:41Z,2024-12-18T18:02:05Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.41.3.520,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.41.3.520,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.41.3.520,artifacts/local/Signal-7.41.3.520.xcarchive,signal_local_7_41_3_520_release,local_release_tag,
86,7.40.4,7.41.1.514,7.40.4,7.41.1.514,7.41.1.514,2024-12-17T09:26:20Z,2024-12-17T02:50:16Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.41.1.514,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.41.1.514,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.41.1.514,artifacts/local/Signal-7.41.1.514.xcarchive,signal_local_7_41_1_514_release,local_release_tag,
87,7.40.3,7.41.0.508,7.40.3,7.41.0.508,7.41.0.508,2024-12-17T03:37:02Z,2024-12-14T02:45:25Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.41.0.508,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.41.0.508,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.41.0.508,artifacts/local/Signal-7.41.0.508.xcarchive,signal_local_7_41_0_508_release,local_release_tag,
88,7.40.2,7.40.2.502,7.40.2,7.40.2.502,7.40.2.502,2024-12-13T00:21:02Z,2024-12-12T22:48:13Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.40.2.502,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.40.2.502,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.40.2.502,artifacts/local/Signal-7.40.2.502.xcarchive,signal_local_7_40_2_502_release,local_release_tag,
89,7.40.1,7.40.1.496,7.40.1,7.40.1.496,7.40.1.496,2024-12-12T20:22:18Z,2024-12-12T18:29:38Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.40.1.496,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.40.1.496,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.40.1.496,artifacts/local/Signal-7.40.1.496.xcarchive,signal_local_7_40_1_496_release,local_release_tag,
90,7.40,7.40.0.492,7.40,7.40.0.492,7.40.0.492,2024-12-11T16:41:46Z,2024-12-10T19:32:13Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.40.0.492,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.40.0.492,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.40.0.492,artifacts/local/Signal-7.40.0.492.xcarchive,signal_local_7_40_0_492_release,local_release_tag,
91,7.39,7.39.0.474,7.39,7.39.0.474,7.39.0.474,2024-11-26T23:07:51Z,2024-11-26T19:36:53Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.39.0.474,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.39.0.474,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.39.0.474,artifacts/local/Signal-7.39.0.474.xcarchive,signal_local_7_39_0_474_release,local_release_tag,
92,7.38,7.38.0.463,7.38,7.38.0.463,7.38.0.463,2024-11-26T20:15:07Z,2024-11-20T17:08:01Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.38.0.463,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.38.0.463,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.38.0.463,artifacts/local/Signal-7.38.0.463.xcarchive,signal_local_7_38_0_463_release,local_release_tag,
93,7.37,7.37.0.448,7.37,7.37.0.448,7.37.0.448,2024-11-14T02:08:35Z,2024-11-12T21:35:47Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.37.0.448,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.37.0.448,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.37.0.448,artifacts/local/Signal-7.37.0.448.xcarchive,signal_local_7_37_0_448_release,local_release_tag,
94,7.36,7.36.0.429,7.36,7.36.0.429,7.36.0.429,2024-11-07T00:25:53Z,2024-11-05T23:22:05Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.36.0.429,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.36.0.429,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.36.0.429,artifacts/local/Signal-7.36.0.429.xcarchive,signal_local_7_36_0_429_release,local_release_tag,
95,7.34,7.34.0.403,7.34,7.34.0.403,7.34.0.403,2024-10-26T15:47:21Z,2024-10-23T17:38:56Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.34.0.403,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.34.0.403,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.34.0.403,artifacts/local/Signal-7.34.0.403.xcarchive,signal_local_7_34_0_403_release,local_release_tag,
96,7.33,7.33.0.392,7.33,7.33.0.392,7.33.0.392,2024-10-18T21:15:55Z,2024-10-16T17:19:28Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.33.0.392,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.33.0.392,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.33.0.392,artifacts/local/Signal-7.33.0.392.xcarchive,signal_local_7_33_0_392_release,local_release_tag,
97,7.32.1,7.32.1.389,7.32.1,7.32.1.389,7.32.1.389,2024-10-16T17:08:33Z,2024-10-15T18:42:57Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.32.1.389,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.32.1.389,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.32.1.389,artifacts/local/Signal-7.32.1.389.xcarchive,signal_local_7_32_1_389_release,local_release_tag,
